Date,Open,High,Low,Close,Adj Close,Volume
24-06-2019,15.46,15.56,15.23,15.26,15.26,0
25-06-2019,15.43,16.68,15.1,16.280001,16.280001,0
26-06-2019,16.1,16.6,15.47,16.209999,16.209999,0
27-06-2019,15.66,16.4,15.66,15.82,15.82,0
28-06-2019,15.7,16.129999,15.08,15.08,15.08,0
01-07-2019,13.85,14.64,13.8,14.06,14.06,0
02-07-2019,14.16,14.3,12.9,12.93,12.93,0
03-07-2019,13.18,13.19,12.56,12.57,12.57,0
05-07-2019,13,14.47,12.04,13.28,13.28,0
08-07-2019,13.73,14.44,13.64,13.96,13.96,0
09-07-2019,14.47,14.71,13.99,14.09,14.09,0
10-07-2019,14.38,14.69,12.98,13.03,13.03,0
11-07-2019,13.01,13.33,12.39,12.93,12.93,0
12-07-2019,12.76,12.82,12.28,12.39,12.39,0
15-07-2019,12.58,13.02,12.49,12.68,12.68,0
16-07-2019,12.61,13.14,12.28,12.86,12.86,0
17-07-2019,12.62,13.97,12.24,13.97,13.97,0
18-07-2019,14.45,14.5,13.19,13.53,13.53,0
19-07-2019,13.31,14.45,13.09,14.45,14.45,0
22-07-2019,14.55,14.7,13.42,13.53,13.53,0
23-07-2019,13.42,13.52,12.55,12.61,12.61,0
24-07-2019,12.8,13.1,11.98,12.07,12.07,0
25-07-2019,12.24,13.54,11.69,12.74,12.74,0
26-07-2019,12.58,12.72,12.01,12.16,12.16,0
29-07-2019,12.15,13.17,12.15,12.83,12.83,0
30-07-2019,12.87,14.18,12.87,13.94,13.94,0
31-07-2019,13.83,16.549999,13.46,16.120001,16.120001,0
01-08-2019,15.41,19.459999,13.73,17.870001,17.870001,0
02-08-2019,17.690001,20.110001,17.040001,17.610001,17.610001,0
05-08-2019,19.959999,24.809999,19.91,24.59,24.59,0
06-08-2019,22.290001,22.870001,19.77,20.17,20.17,0
07-08-2019,20.700001,23.67,18.940001,19.49,19.49,0
08-08-2019,19.360001,19.889999,16.82,16.91,16.91,0
09-08-2019,18.139999,19.440001,17.309999,17.969999,17.969999,0
12-08-2019,17.870001,21.26,17.77,21.09,21.09,0
13-08-2019,21.280001,21.639999,17.52,17.52,17.52,0
14-08-2019,17.809999,22.709999,17.75,22.1,22.1,0
15-08-2019,21.58,24.1,20.780001,21.18,21.18,0
16-08-2019,20.48,20.5,18.41,18.469999,18.469999,0
19-08-2019,17.93,18.219999,16.52,16.879999,16.879999,0
20-08-2019,16.780001,17.700001,16.450001,17.5,17.5,0
21-08-2019,17.01,17.040001,15.51,15.8,15.8,0
22-08-2019,16.120001,17.68,15.63,16.68,16.68,0
23-08-2019,16.15,21.07,16.040001,19.870001,19.870001,0
26-08-2019,20.34,21.33,19.059999,19.32,19.32,0
27-08-2019,20.18,21.040001,18.49,20.309999,20.309999,0
28-08-2019,20.549999,21.639999,19.1,19.35,19.35,0
29-08-2019,19.02,19.200001,17.6,17.879999,17.879999,0
30-08-2019,17.940001,19.18,17.09,18.98,18.98,0
03-09-2019,20.959999,21.15,19.41,19.66,19.66,0
04-09-2019,18.23,18.83,17.26,17.33,17.33,0
05-09-2019,16.92,17.049999,15.45,16.27,16.27,0
06-09-2019,15.92,16.059999,14.91,15,15,0
09-09-2019,15.26,16.129999,14.95,15.27,15.27,0
10-09-2019,15.53,16.52,15.11,15.2,15.2,0
11-09-2019,15.33,15.52,14.55,14.61,14.61,0
12-09-2019,14.69,14.94,13.85,14.22,14.22,0
13-09-2019,14.16,14.31,13.51,13.74,13.74,0
16-09-2019,14.89,15.29,14.5,14.67,14.67,0
17-09-2019,14.92,15.03,14.4,14.44,14.44,0
18-09-2019,14.61,15.8,13.8,13.95,13.95,0
19-09-2019,14.66,14.66,13.31,14.05,14.05,0
20-09-2019,13.94,15.84,13.35,15.32,15.32,0
23-09-2019,15.35,16,14.71,14.91,14.91,0
24-09-2019,14.77,17.620001,14.33,17.049999,17.049999,0
25-09-2019,17.049999,18.450001,15.69,15.96,15.96,0
26-09-2019,16.23,17.09,15.35,16.07,16.07,0
27-09-2019,15.77,18.690001,15.15,17.219999,17.219999,0
30-09-2019,17.23,17.35,16.200001,16.24,16.24,0
01-10-2019,16.02,18.620001,15.79,18.559999,18.559999,0
02-10-2019,18.75,21.459999,18.75,20.559999,20.559999,0
03-10-2019,20.110001,21.440001,19.030001,19.120001,19.120001,0
04-10-2019,19.42,19.969999,16.969999,17.040001,17.040001,0
07-10-2019,18.27,18.52,16.440001,17.860001,17.860001,0
08-10-2019,17.610001,20.379999,17.42,20.280001,20.280001,0
09-10-2019,19.940001,20,17.77,18.639999,18.639999,0
10-10-2019,19.280001,19.799999,17.559999,17.57,17.57,0
11-10-2019,17.35,17.440001,15.11,15.58,15.58,0
14-10-2019,15.66,16.5,14.51,14.57,14.57,0
15-10-2019,13.94,14.43,13.39,13.54,13.54,0
16-10-2019,13.94,14.26,13.6,13.68,13.68,0
17-10-2019,13.79,14.18,13.31,13.79,13.79,0
18-10-2019,14.2,15.16,13.78,14.25,14.25,0
21-10-2019,14.24,14.63,14,14,14,0
22-10-2019,13.99,14.61,13.7,14.46,14.46,0
23-10-2019,14.83,15.12,14.01,14.01,14.01,0
24-10-2019,13.98,14.34,13.4,13.71,13.71,0
25-10-2019,13.53,13.79,12.62,12.65,12.65,0
28-10-2019,13.01,13.14,12.66,13.11,13.11,0
29-10-2019,13.16,13.52,13.07,13.2,13.2,0
30-10-2019,13.08,13.37,12.27,12.33,12.33,0
31-10-2019,13.51,13.95,13.18,13.22,13.22,0
01-11-2019,12.5,12.6,12.26,12.3,12.3,0
04-11-2019,12.68,13.13,12.44,12.83,12.83,0
05-11-2019,12.85,13.28,12.25,13.1,13.1,0
06-11-2019,13.18,13.39,12.6,12.62,12.62,0
07-11-2019,12.59,12.89,12.26,12.73,12.73,0
08-11-2019,12.98,13.05,12,12.07,12.07,0
11-11-2019,13.15,13.49,12.66,12.69,12.69,0
12-11-2019,12.64,13.1,12.36,12.68,12.68,0
13-11-2019,12.91,13.9,12.88,13,13,0
14-11-2019,13.16,13.81,12.93,13.05,13.05,0
15-11-2019,12.95,12.97,11.92,12.05,12.05,0
18-11-2019,12.39,13.1,12.32,12.46,12.46,0
19-11-2019,12.33,13.01,12.16,12.86,12.86,0
20-11-2019,13.42,14.17,12.61,12.78,12.78,0
21-11-2019,13.35,13.86,12.49,13.13,13.13,0
22-11-2019,12.82,13.25,12.33,12.34,12.34,0
25-11-2019,12.51,12.59,11.73,11.87,11.87,0
26-11-2019,11.88,12.04,11.42,11.54,11.54,0
27-11-2019,11.55,11.79,11.44,11.75,11.75,0
29-11-2019,12.5,12.83,12.12,12.62,12.62,0
02-12-2019,12.69,15.27,12.55,14.91,14.91,0
03-12-2019,14.68,17.99,14.61,15.96,15.96,0
04-12-2019,16.379999,16.4,14.12,14.8,14.8,0
05-12-2019,14.46,15.37,14.17,14.52,14.52,0
06-12-2019,14.37,14.47,13.19,13.62,13.62,0
09-12-2019,14.25,16.07,12.25,15.86,15.86,0
10-12-2019,15.8,16.9,14.93,15.68,15.68,0
11-12-2019,15.57,15.97,14.98,14.99,14.99,0
12-12-2019,14.94,15.55,13.6,13.94,13.94,0
